latitude,longitude,name
50.794343,43.343,JEANNEHERREMAN
50.78733,43.30532,HORZEL
50.907479,44.00449,DEBEJAR
50.794092,43.34203,JEANNEHERREMAN
50.804317,43.54863,ZEECRABBE
50.907729,44.0055,DEBEJAR
50.876904,43.42176,EMILEDELVA
50.804084,43.58041,HOUZEAU
50.832842,44.46584,MAREYDE
50.868582,43.89962,TERDELT
50.811069,43.62608,GOSSART
50.833162,44.63477,PADDOCK
50.83615,43.55323,LOUIZA
50.81604,43.67006,BASCULE
50.831577,44.43672,MERTENS
50.840532,43.40945,LEMONNIER
50.821452,43.66581,VANEYCK
50.83141,44.37824,KELLE
50.846143,43.42782,WASHUIS
50.823501,43.67848,VLEURGAT
50.832162,44.04083,BOILEAU
50.869824,43.71196,PAVILJOEN
50.833192,43.74799,BLYCKAERTS
50.832802,43.95936,ELFNOVEMBER
50.855501,43.95892,MEISER
50.800674,43.37416,GLOBE
50.831177,43.89945,DEJACHT
50.854421,43.98959,MEISER
50.800687,43.37586,GLOBE
50.834694,43.88065,LOUISHAP
50.85533,43.9717,MEISER
50.825848,43.69774,BIARRITZ
50.837284,43.86689,LEMAN
50.832176,43.02036,MEIR
50.895522,43.89181,PETERBENOIT
50.834163,43.77866,VARIA
50.834812,43.06674,SINT-GUIDO
50.905632,44.02999,ANTOONVANOSS
50.832713,43.74968,BLYCKAERTS
50.837022,43.18582,KUREGEM
50.905522,44.03494,ANTOONVANOSS
50.849296,43.4871,BEURS
50.839207,43.23336,ALBERTI
50.818551,44.27289,VORSTRONDPUNT
50.825678,43.69486,BIARRITZ
50.85242,43.51157,BEGIJNHOF
50.793389,43.66686,SINT-JOBPLEIN
50.835179,43.72173,IDALIE
50.843431,43.54454,BIBLIOTHEEK
50.808321,44.27177,SENY-PARK
50.819645,43.6624,VANEYCK
50.859189,43.54777,NICOLAY
50.862491,44.57457,SINT-ANTONIUS
50.817394,43.66481,PATTON
50.84477,43.51983,GROTEMARKT
50.860156,44.54896,ANNECY
50.815338,43.67106,BASCULE
50.836997,44.08119,MONTGOMERY
50.852563,44.55372,DUNETTE
50.811096,43.62452,GOSSART
50.889968,44.14876,STAT.HAREN-ZUID
50.853935,44.4343,THIRY-WOLUWE
50.806357,43.66364,RENEGOBERT
50.850496,43.49922,DEBROUCKERE
50.864124,44.56697,THUMAS
50.804353,43.56523,HOUZEAU
50.868313,43.53197,STAPELHUIS
50.85031,44.57931,MOUNIER
50.798185,43.36239,RITTWEGER
50.805452,43.2734,DECROLY
50.812357,44.29112,HERRMANN-DEBROUX
50.798185,43.36239,RITTWEGER
50.894356,43.82654,ZAVELPUT
50.859427,43.79125,WIJNHEUVELEN
50.789489,43.33821,ENGELAND
50.902785,43.98081,TRASSERSWEG
50.818479,44.27715,VORSTRONDPUNT
50.781047,43.32395,NOORDKRIEKEN
50.905166,44.01793,ANTOONVANOSS
50.801644,43.9691,FUTAIE
50.778935,43.32425,MOENSBERGSTATION
50.833457,42.95192,BRACOPS-ZIEKENH.
50.804133,44.0026,DRIES
50.803912,43.49486,BEELDHOUWERS
50.872853,43.58097,CLAESSENS
50.805085,44.26719,TENREUKEN
50.776788,43.3909,GODSHUIZEN
50.827158,43.44041,BAREEL
50.863047,44.57565,SINT-ANTONIUS
50.803326,43.42649,HELDEN
50.826762,43.43545,BAREEL
50.809788,43.99271,WATERMAALSTATION
50.774085,43.38772,STATIONLINKEBEEK
50.826762,43.43545,BAREEL
50.809661,43.99387,WATERMAALSTATION
50.784023,43.32988,VLEESKERSEN
50.818916,43.78789,BUYL
50.85284,44.52738,UCLSAINT-LUC
50.78894,43.34006,ENGELAND
50.907492,43.88708,MILITAIRHOSP.
50.894611,43.90838,OORLOGSKRUISEN
50.791242,43.32898,UKKELKALEVOET
50.902623,43.97939,TRASSERSWEG
50.891445,43.84563,BOOMGAARD
50.797648,43.36207,RITTWEGER
50.899117,43.9896,GROENWEG
50.866692,43.73226,COLIGNON
50.891066,43.80166,GEMENEBEEMDEN
50.879536,43.75408,DOCKSBRUXSEL
50.867265,43.80029,VOLTAIRE
50.803733,43.61942,FLORIDA
50.86861,43.53112,STAPELHUIS
50.85564,43.84072,BREMER
50.806745,43.66326,RENEGOBERT
50.835428,42.98979,DELINDE
50.794537,43.66113,SINT-JOBPLEIN
50.891075,43.79597,GEMENEBEEMDEN
50.833718,42.95433,BRACOPS-ZIEKENH.
50.806255,44.00659,BIEN-FAIRE
50.800544,43.3711,GLOBE
